Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
Vietnam,EXW,Air,17-Mar-10,17-Mar-10,Aurobindo Pharma Limited,20520,49248.0,2.4,0.04,No,See ASN-6264 (ID#:52856),96.53,India
Vietnam,EXW,Air,17-Mar-10,17-Mar-10,Aurobindo Pharma Limited,19740,169961.4,8.61,0.14,No,See ASN-6264 (ID#:52856),333.12,India
Mozambique,EXW,Air,23-Feb-10,23-Feb-10,"Trinity Biotech, Plc",2400,76800.0,32.0,1.6,No,See ASN-5953 (ID#:39606),165.58,India
Zambia,EXW,Air,28-Jan-10,28-Jan-10,"Orgenics, Ltd",1820,131040.0,72.0,0.72,No,See ASN-5853 (ID#:24427),256.84,India
Tanzania,CIP,Air,27-Nov-09,27-Nov-09,BRISTOL-MYERS SQUIBB,15619,369701.73,23.67,0.79,No,See ASN-5364 (ID#:16097),724.62,France
Vietnam,EXW,Air,23-Oct-09,23-Oct-09,Aurobindo Pharma Limited,6500,72475.0,11.15,0.19,No,See ASN-5132 (ID#:22186),142.05,India
Vietnam,EXW,Air,23-Oct-09,23-Oct-09,Aurobindo Pharma Limited,2520,6048.0,2.4,0.04,No,See ASN-5132 (ID#:22186),11.85,India
Vietnam,EXW,Air,26-Oct-09,26-Oct-09,Aurobindo Pharma Limited,5964,51350.04,8.61,0.14,No,See ASN-5131 (ID#:25886),100.65,India
Vietnam,EXW,Air,26-Oct-09,26-Oct-09,Aurobindo Pharma Limited,180,2340.0,13.0,0.43,No,See ASN-5131 (ID#:25886),4.59,India
Vietnam,EXW,Air,26-Oct-09,26-Oct-09,Aurobindo Pharma Limited,27480,65952.0,2.4,0.04,No,See ASN-5131 (ID#:25886),129.27,India
Côte d'Ivoire,FCA,Air,10-Aug-09,8-Oct-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),7600,274816.0,36.16,0.3,No,See ASN-4979 (ID#:21174),538.64,Germany
Tanzania,CIP,Air,21-Oct-09,21-Oct-09,BRISTOL-MYERS SQUIBB,6900,163323.0,23.67,0.79,No,See ASN-4974 (ID#:18694),320.11,France
Namibia,EXW,Air,18-Aug-09,18-Aug-09,CIPLA LIMITED,1812,4348.8,2.4,0.04,No,See ASN-4511 (ID#:2571),8.52,India
Tanzania,CIP,Air,8-Nov-09,11-Aug-09,BRISTOL-MYERS SQUIBB,7000,128380.0,18.34,0.61,No,See ASN-4489 (ID#:43989),251.62,France
Vietnam,CIP,Air,28-Jul-09,28-Jul-09,BRISTOL-MYERS SQUIBB,320,2240.0,7.0,0.12,No,See ASN-4488 (ID#:1213),4.39,France
Vietnam,EXW,Air,7-Oct-09,10-Jul-09,Aurobindo Pharma Limited,6048,8769.6,1.45,0.02,No,See ASN-4420 (ID#:1183),17.19,India
Vietnam,EXW,Air,7-Oct-09,10-Jul-09,Aurobindo Pharma Limited,18000,43200.0,2.4,0.04,No,See ASN-4420 (ID#:1183),84.67,India
Vietnam,EXW,Air,7-Oct-09,10-Jul-09,Aurobindo Pharma Limited,3500,39025.0,11.15,0.19,No,See ASN-4419 (ID#:3851),76.49,India
Vietnam,EXW,Air,7-Oct-09,10-Jul-09,Aurobindo Pharma Limited,6000,14400.0,2.4,0.04,No,See ASN-4419 (ID#:3851),28.22,India
Tanzania,FCA,Air,8-Nov-09,11-Aug-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),60,2466.0,41.1,0.34,No,See ASN-4381 (ID#:4949),4.83,Germany
South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,76,300.2,3.95,0.07,No,See ASN-4332 (ID#:1115),0.59,France
South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,2000,14160.0,7.08,0.12,No,See ASN-4332 (ID#:1115),27.75,India
South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,400,832.0,2.08,0.01,No,See ASN-4332 (ID#:1115),1.63,India
South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,80,750.4,9.38,0.04,No,See ASN-4332 (ID#:1115),1.47,India
South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,200,1208.0,6.04,0.03,No,See ASN-4332 (ID#:1115),2.37,India
Nigeria,FCA,Air,20-May-09,20-May-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),159,6534.9,41.1,0.34,No,See ASN-3984 (ID#:2499),12.81,Germany
Tanzania,CIP,Air,15-Jun-09,15-Jun-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),2680,135072.0,50.4,1.68,No,See ASN-3853 (ID#:4824),264.74,Netherlands
Tanzania,CIP,Air,15-Jun-09,15-Jun-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),2357,118792.8,50.4,1.68,No,See ASN-3853 (ID#:4824),232.83,Netherlands
South Africa,DDP,Air,4-Jan-09,26-Nov-08,S. BUYS WHOLESALER,156,845.52,5.42,0.02,No,See ASN-3760 (ID#:5049),1.66,Saudi Arabia
South Africa,DDP,Air,4-Jan-09,26-Nov-08,S. BUYS WHOLESALER,150,949.5,6.33,0.03,No,See ASN-3760 (ID#:5049),1.86,Saudi Arabia
Haiti,CIP,Air,31-Mar-09,31-Mar-09,BRISTOL-MYERS SQUIBB,32,402.88,12.59,0.06,No,See ASN-3675 (ID#:1046),0.79,France
Haiti,CIP,Air,31-Mar-09,31-Mar-09,BRISTOL-MYERS SQUIBB,80,560.0,7.0,0.12,No,See ASN-3675 (ID#:1046),1.1,France
South Africa,DDP,Air,21-Apr-09,5-Dec-08,S. BUYS WHOLESALER,23,83.72,3.64,0.02,No,See ASN-3635 (ID#:3745),0.16,India
South Africa,DDP,Air,21-Apr-09,5-Dec-08,S. BUYS WHOLESALER,144,440.64,3.06,0.1,No,See ASN-3635 (ID#:3745),0.86,India
Haiti,EXW,Air,4-Feb-09,2-Apr-09,Aurobindo Pharma Limited,40,620.0,15.5,0.26,No,See ASN-3628 (ID#:2399),1.22,India
Vietnam,EXW,Air,4-Oct-09,10-Apr-09,Aurobindo Pharma Limited,21000,50400.0,2.4,0.04,No,See ASN-3562 (ID#:960),98.78,India
Vietnam,EXW,Air,4-Oct-09,10-Apr-09,Aurobindo Pharma Limited,700,7805.0,11.15,0.19,No,See ASN-3562 (ID#:960),15.3,India
Vietnam,EXW,Air,4-Oct-09,10-Apr-09,Aurobindo Pharma Limited,5200,15080.0,2.9,0.05,No,See ASN-3562 (ID#:960),29.56,India
Vietnam,EXW,Air,4-Oct-09,10-Apr-09,Aurobindo Pharma Limited,22428,32520.6,1.45,0.02,No,See ASN-3562 (ID#:960),63.74,India
Vietnam,EXW,Air,4-Jul-09,7-Apr-09,Aurobindo Pharma Limited,300,3345.0,11.15,0.19,No,See ASN-3561 (ID#:2297),6.56,India
Vietnam,EXW,Air,4-Jul-09,7-Apr-09,Aurobindo Pharma Limited,9576,13885.2,1.45,0.02,No,See ASN-3561 (ID#:2297),27.21,India
Vietnam,EXW,Air,4-Jul-09,7-Apr-09,Aurobindo Pharma Limited,4032,34715.52,8.61,0.14,No,See ASN-3561 (ID#:2297),68.04,India
Vietnam,EXW,Air,4-Jul-09,7-Apr-09,Aurobindo Pharma Limited,7800,22620.0,2.9,0.05,No,See ASN-3561 (ID#:2297),44.34,India
Zambia,EXW,Air,18-Mar-09,18-Mar-09,"Orgenics, Ltd",5500,55.0,0.01,0.0,No,See ASN-3508 (ID#:3441),0.11,India
Rwanda,EXW,Air,27-Aug-15,27-Aug-15,EMCURE PHARMACEUTICALS LTD,24666,443988.0,18.0,0.6,No,See ASN-33614 (ID#:36005),456.42,India
Vietnam,FCA,Air,14-Sep-15,14-Sep-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),4500,273600.0,60.8,0.51,No,See ASN-33526 (ID#:32150),322.03,Germany
Vietnam,EXW,Air,9-Mar-15,3-Sep-15,HETERO LABS LIMITED,13736,130492.0,9.5,0.32,No,See ASN-33269 (ID#:25323),153.59,India
Vietnam,EXW,Air,9-Mar-15,3-Sep-15,HETERO LABS LIMITED,15552,147744.0,9.5,0.32,No,See ASN-33266 (ID#:44615),173.89,India
Vietnam,FCA,Air,13-Aug-15,13-Aug-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),400,9304.0,23.26,0.78,No,See ASN-33152 (ID#:38571),10.95,Germany
Vietnam,EXW,Air,9-Jul-15,7-Sep-15,HETERO LABS LIMITED,3000,6480.0,2.16,0.04,No,See ASN-33146 (ID#:44860),7.63,India
Vietnam,EXW,Air,9-Jul-15,7-Sep-15,HETERO LABS LIMITED,15284,145198.0,9.5,0.32,No,See ASN-33143 (ID#:42190),170.9,India
Vietnam,EXW,Air,23-Feb-09,23-Feb-09,Aurobindo Pharma Limited,4200,12180.0,2.9,0.05,No,See ASN-3313 (ID#:3456),23.87,India
Vietnam,EXW,Air,23-Feb-09,23-Feb-09,Aurobindo Pharma Limited,6966,16718.4,2.4,0.04,No,See ASN-3313 (ID#:3456),32.77,India
Vietnam,EXW,Air,27-Feb-09,27-Feb-09,Aurobindo Pharma Limited,7800,22620.0,2.9,0.05,No,See ASN-3312 (ID#:6081),44.34,India
Haiti,FCA,Air,7-Jul-15,7-Jul-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),6050,111743.5,18.47,0.15,No,See ASN-32716 (ID#:22417),114.87,Germany
Haiti,EXW,Ocean,13-Aug-15,13-Aug-15,HETERO LABS LIMITED,65760,434673.6,6.61,0.11,No,See ASN-32682 (ID#:38510),511.61,India
Nigeria,EXW,Air,24-Jun-15,24-Jun-15,HETERO LABS LIMITED,7026,31617.0,4.5,0.15,No,See ASN-32527 (ID#:24386),37.21,India
Vietnam,EXW,Air,7-Oct-15,10-Jul-15,HETERO LABS LIMITED,1144,11440.0,10.0,0.33,No,See ASN-32270 (ID#:35968),13.46,India
Vietnam,EXW,Air,7-Oct-15,10-Jul-15,HETERO LABS LIMITED,6000,12960.0,2.16,0.04,No,See ASN-32265 (ID#:56716),15.25,India
Vietnam,EXW,Air,7-Oct-15,10-Jul-15,HETERO LABS LIMITED,1400,15330.0,10.95,0.18,No,See ASN-32265 (ID#:56716),18.04,India
Vietnam,EXW,Air,7-Oct-15,10-Jul-15,HETERO LABS LIMITED,17600,31680.0,1.8,0.03,No,See ASN-32265 (ID#:56716),37.29,India
Vietnam,EXW,Air,13-Jul-15,13-Jul-15,HETERO LABS LIMITED,8000,28000.0,3.5,0.12,No,See ASN-32262 (ID#:41943),32.96,India
Vietnam,EXW,Air,13-Jul-15,13-Jul-15,HETERO LABS LIMITED,10000,21600.0,2.16,0.04,No,See ASN-32258 (ID#:29880),25.42,India
Vietnam,EXW,Air,13-Jul-15,13-Jul-15,HETERO LABS LIMITED,2000,21900.0,10.95,0.18,No,See ASN-32258 (ID#:29880),25.78,India
Vietnam,EXW,Air,13-Jul-15,13-Jul-15,HETERO LABS LIMITED,5120,51200.0,10.0,0.33,No,See ASN-32258 (ID#:29880),60.26,India
South Sudan,EXW,Air,25-Jul-15,25-Jul-15,"Trinity Biotech, Plc",35,1120.0,32.0,1.6,No,See ASN-31765 (ID#:41640),1.32,India
South Sudan,EXW,Air,25-Jul-15,25-Jul-15,"Trinity Biotech, Plc",10,320.0,32.0,1.6,No,See ASN-31765 (ID#:41640),0.38,India
South Sudan,EXW,Air,25-Jul-15,25-Jul-15,"Trinity Biotech, Plc",18,576.0,32.0,1.6,No,See ASN-31765 (ID#:41640),0.68,India
South Sudan,EXW,Air,25-Jul-15,25-Jul-15,"Trinity Biotech, Plc",25,800.0,32.0,1.6,No,See ASN-31765 (ID#:41640),0.94,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",423,13536.0,32.0,1.6,No,See ASN-31750 (ID#:19272),15.93,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",34,1088.0,32.0,1.6,No,See ASN-31750 (ID#:19272),1.28,India
