Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,36,69.12,1.92,0.01,No,See DN-1311 (ID#:82837),0.14,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,16,203.68,12.73,0.14,No,See DN-1311 (ID#:82837),0.4,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,50,73.0,1.46,0.02,No,See DN-1311 (ID#:82837),0.14,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,214,1874.64,8.76,0.15,No,See DN-1311 (ID#:82837),3.67,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,75,142.5,1.9,0.01,No,See DN-1311 (ID#:82837),0.28,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,98,737.94,7.53,0.13,No,See DN-1311 (ID#:82837),1.45,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,253,733.7,2.9,0.05,No,See DN-1311 (ID#:82837),1.44,India
Nigeria,N/A - From RDC,Air Charter,30-Jul-09,4-Aug-09,SCMS from RDC,301,2061.85,6.85,0.23,No,See DN-1311 (ID#:82837),4.04,India
Uganda,N/A - From RDC,Air,14-Aug-09,14-Aug-09,SCMS from RDC,14479,97878.04,6.76,0.11,No,See DN-1303 (ID#:11661),191.84,India
Uganda,N/A - From RDC,Air,15-Sep-09,15-Sep-09,SCMS from RDC,2250,6525.0,2.9,0.05,No,See DN-1300 (ID#:11669),12.79,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,3000,45780.0,15.26,0.17,No,See DN-1296 (ID#:10779),89.73,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,400,20000.0,50.0,0.28,No,See DN-1296 (ID#:10779),39.2,Netherlands
Zimbabwe,N/A - From RDC,Truck,22-Jun-09,22-Jun-09,SCMS from RDC,4000,16000.0,4.0,0.07,No,See DN-1289 (ID#:11332),31.36,India
Zimbabwe,N/A - From RDC,Truck,22-Jun-09,22-Jun-09,SCMS from RDC,4000,42480.0,10.62,0.35,No,See DN-1289 (ID#:11332),83.26,India
Uganda,N/A - From RDC,Air,22-Jun-09,22-Jun-09,SCMS from RDC,7300,50005.0,6.85,0.23,No,See DN-1287 (ID#:11055),98.01,India
Haiti,N/A - From RDC,Air,18-Jun-09,18-Jun-09,SCMS from RDC,36,54.0,1.5,0.02,No,See DN-1280 (ID#:10776),0.11,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,3235,23033.2,7.12,0.12,No,See DN-1263 (ID#:11053),45.15,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,306,2359.26,7.71,0.13,No,See DN-1261 (ID#:11647),4.62,India
Zambia,N/A - From RDC,Truck,15-Jun-09,15-Jun-09,SCMS from RDC,95000,676400.0,7.12,0.12,No,See DN-1250 (ID#:10774),1325.74,India
Zambia,N/A - From RDC,Truck,15-Jun-09,15-Jun-09,SCMS from RDC,680,10376.8,15.26,0.17,No,See DN-1250 (ID#:10774),20.34,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,1002,1553.1,1.55,0.03,No,See DN-1244 (ID#:11048),3.04,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,1140,3306.0,2.9,0.05,No,See DN-1244 (ID#:11048),6.48,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,2178,23522.4,10.8,0.36,No,See DN-1244 (ID#:11048),46.1,India
Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,806,1531.4,1.9,0.01,No,See DN-1244 (ID#:11048),3.0,India
Swaziland,N/A - From RDC,Air,21-May-09,21-May-09,SCMS from RDC,1417,18038.41,12.73,0.14,No,See DN-1238 (ID#:11046),35.36,India
Swaziland,N/A - From RDC,Air,21-May-09,21-May-09,SCMS from RDC,13600,154360.0,11.35,0.19,No,See DN-1238 (ID#:11046),302.55,India
Swaziland,N/A - From RDC,Air,20-May-09,20-May-09,SCMS from RDC,523,6657.79,12.73,0.14,No,See DN-1237 (ID#:10767),13.05,India
Ghana,N/A - From RDC,Truck,8-Dec-09,12-Aug-09,SCMS from RDC,150,1.5,0.01,0.0,No,See DN-1235 (ID#:10769),0.0,India
Ghana,N/A - From RDC,Truck,8-Dec-09,12-Aug-09,SCMS from RDC,888,8.88,0.01,0.0,No,See DN-1235 (ID#:10769),0.02,India
Ghana,N/A - From RDC,Truck,8-Dec-09,12-Aug-09,SCMS from RDC,477,4.77,0.01,0.0,No,See DN-1235 (ID#:10769),0.01,India
Ghana,N/A - From RDC,Truck,8-Dec-09,12-Aug-09,SCMS from RDC,374,3.74,0.01,0.0,No,See DN-1235 (ID#:10769),0.01,India
Ghana,N/A - From RDC,Truck,8-Dec-09,12-Aug-09,SCMS from RDC,8346,83.46,0.01,0.0,No,See DN-1235 (ID#:10769),0.16,India
Côte d'Ivoire,N/A - From RDC,Air,6-Nov-09,11-Jun-09,SCMS from RDC,10000,77100.0,7.71,0.13,No,See DN-1234 (ID#:11970),151.12,India
Côte d'Ivoire,N/A - From RDC,Air,6-Nov-09,11-Jun-09,SCMS from RDC,15000,173400.0,11.56,0.19,No,See DN-1234 (ID#:11970),339.86,India
Côte d'Ivoire,N/A - From RDC,Air,6-Nov-09,11-Jun-09,SCMS from RDC,17100,41724.0,2.44,0.04,No,See DN-1234 (ID#:11970),81.78,India
Côte d'Ivoire,N/A - From RDC,Air,6-Nov-09,11-Jun-09,SCMS from RDC,560,840.0,1.5,0.02,No,See DN-1234 (ID#:11970),1.65,India
Uganda,N/A - From RDC,Air,6-Jan-09,1-Jun-09,SCMS from RDC,90,2362.5,26.25,0.88,No,See DN-1232 (ID#:10766),4.63,Saudi Arabia
Mozambique,N/A - From RDC,Truck,28-Jun-09,28-Jun-09,SCMS from RDC,7300,56283.0,7.71,0.13,No,See DN-1231 (ID#:11044),110.31,India
Mozambique,N/A - From RDC,Truck,28-Jun-09,28-Jun-09,SCMS from RDC,630,938.7,1.49,0.02,No,See DN-1231 (ID#:11044),1.84,India
Uganda,N/A - From RDC,Air,24-Jun-09,24-Jun-09,SCMS from RDC,107,342.4,3.2,0.05,No,See DN-1222 (ID#:11317),0.67,India
Haiti,N/A - From RDC,Air,22-May-09,22-May-09,SCMS from RDC,2345,4455.5,1.9,0.01,No,See DN-1221 (ID#:11636),8.73,India
Haiti,N/A - From RDC,Air,22-May-09,22-May-09,SCMS from RDC,10065,97831.8,9.72,0.32,No,See DN-1221 (ID#:11636),191.75,India
Haiti,N/A - From RDC,Air,22-May-09,22-May-09,SCMS from RDC,504,2766.96,5.49,0.05,No,See DN-1221 (ID#:11636),5.42,India
Mozambique,N/A - From RDC,Air,28-Jun-09,28-Jun-09,SCMS from RDC,17618,126849.6,7.2,0.12,No,See DN-1215 (ID#:10764),248.63,India
Nigeria,N/A - From RDC,Air Charter,5-Aug-09,8-May-09,SCMS from RDC,1,11.4,11.4,0.19,No,See DN-1209 (ID#:10763),0.02,India
Haiti,N/A - From RDC,Air,19-May-09,19-May-09,SCMS from RDC,108,162.0,1.5,0.02,No,See DN-1205 (ID#:11314),0.32,India
Haiti,N/A - From RDC,Air,19-May-09,19-May-09,SCMS from RDC,398,5970.0,15.0,0.06,No,See DN-1205 (ID#:11314),11.7,India
Kenya,N/A - From RDC,Truck,23-Apr-09,23-Apr-09,SCMS from RDC,170,1.7,0.01,0.0,No,See DN-1193 (ID#:11312),0.0,India
Kenya,N/A - From RDC,Truck,27-Apr-09,27-Apr-09,SCMS from RDC,15000,1200000.0,80.0,0.8,No,See DN-1189 (ID#:10759),2352.0,India
Tanzania,N/A - From RDC,Truck,5-Nov-09,11-May-09,SCMS from RDC,20240,531300.0,26.25,0.88,No,See DN-1180 (ID#:11033),1041.35,Saudi Arabia
Tanzania,N/A - From RDC,Truck,5-Nov-09,11-May-09,SCMS from RDC,1977,31928.55,16.15,0.07,No,See DN-1180 (ID#:11033),62.58,India
Mozambique,N/A - From RDC,Air,20-May-09,20-May-09,SCMS from RDC,720,10987.2,15.26,0.17,No,See DN-1176 (ID#:11973),21.53,India
Zimbabwe,N/A - From RDC,Truck,27-Apr-09,27-Apr-09,SCMS from RDC,76000,562400.0,7.4,0.12,No,See DN-1168 (ID#:11031),1102.3,India
Nigeria,N/A - From RDC,Air Charter,5-Aug-09,8-May-09,SCMS from RDC,1132,17274.32,15.26,0.17,No,See DN-1166 (ID#:12271),33.86,India
Côte d'Ivoire,N/A - From RDC,Air,23-Mar-09,23-Mar-09,SCMS from RDC,1500,61650.0,41.1,0.14,No,See DN-1163 (ID#:11030),120.83,United Kingdom
Côte d'Ivoire,N/A - From RDC,Air,23-Mar-09,23-Mar-09,SCMS from RDC,126,5178.6,41.1,0.14,No,See DN-1163 (ID#:11030),10.15,United Kingdom
Côte d'Ivoire,N/A - From RDC,Air,23-Mar-09,23-Mar-09,SCMS from RDC,405,16645.5,41.1,0.14,No,See DN-1163 (ID#:11030),32.63,United Kingdom
Côte d'Ivoire,N/A - From RDC,Air,30-Apr-09,30-Apr-09,SCMS from RDC,9599,28797.0,3.0,0.05,No,See DN-1152 (ID#:11010),56.44,India
Pakistan,N/A - From RDC,Air,4-Jan-09,1-Apr-09,SCMS from RDC,28,2800.0,100.0,1.0,No,See DN-1147 (ID#:11610),5.49,India
Uganda,N/A - From RDC,Air,4-Feb-09,2-Apr-09,SCMS from RDC,3713,40843.0,11.0,0.37,No,See DN-1143 (ID#:10711),80.05,India
Uganda,N/A - From RDC,Air,4-Aug-09,8-Apr-09,SCMS from RDC,328,8610.0,26.25,0.88,No,See DN-1125 (ID#:11298),16.88,Saudi Arabia
Nigeria,N/A - From RDC,Air Charter,19-Mar-09,19-Mar-09,SCMS from RDC,833,1582.7,1.9,0.01,No,See DN-1124 (ID#:11620),3.1,India
Nigeria,N/A - From RDC,Air Charter,19-Mar-09,19-Mar-09,SCMS from RDC,1033,1601.15,1.55,0.03,No,See DN-1124 (ID#:11620),3.14,India
Nigeria,N/A - From RDC,Air Charter,19-Mar-09,19-Mar-09,SCMS from RDC,3231,28303.56,8.76,0.15,No,See DN-1124 (ID#:11620),55.47,India
Côte d'Ivoire,N/A - From RDC,Air,26-May-09,26-May-09,SCMS from RDC,3060,5814.0,1.9,0.01,No,See DN-1120 (ID#:12556),11.4,India
Zimbabwe,N/A - From RDC,Truck,4-Jun-09,6-Apr-09,SCMS from RDC,4000,48040.0,12.01,0.4,No,See DN-1115 (ID#:11008),94.16,India
Zimbabwe,N/A - From RDC,Truck,4-Jun-09,6-Apr-09,SCMS from RDC,8000,16000.0,2.0,0.07,No,See DN-1115 (ID#:11008),31.36,India
Ethiopia,N/A - From RDC,Air,20-Mar-09,20-Mar-09,SCMS from RDC,10812,127581.6,11.8,0.2,No,See DN-1105 (ID#:11303),250.06,India
Haiti,N/A - From RDC,Air,3-Mar-09,3-Mar-09,SCMS from RDC,56,2800.0,50.0,0.28,No,See DN-1100 (ID#:11005),5.49,Netherlands
Haiti,N/A - From RDC,Air,3-Mar-09,3-Mar-09,SCMS from RDC,5216,10014.72,1.92,0.01,No,See DN-1100 (ID#:11005),19.63,India
Haiti,N/A - From RDC,Air,3-Mar-09,3-Mar-09,SCMS from RDC,210,3204.6,15.26,0.17,No,See DN-1100 (ID#:11005),6.28,India
Côte d'Ivoire,N/A - From RDC,Air,27-Feb-09,27-Feb-09,SCMS from RDC,2800,5880.0,2.1,0.01,No,See DN-1098 (ID#:12242),11.52,India
Uganda,N/A - From RDC,Air,3-May-09,5-Mar-09,SCMS from RDC,1524,4876.8,3.2,0.05,No,See DN-1084 (ID#:11295),9.56,India
Uganda,N/A - From RDC,Air,3-Mar-09,3-Mar-09,SCMS from RDC,312,3681.6,11.8,0.2,No,See DN-1083 (ID#:12219),7.22,India
Ethiopia,N/A - From RDC,Air,3-Apr-09,4-Mar-09,SCMS from RDC,35299,374875.38,10.62,0.35,No,See DN-1062 (ID#:12256),734.76,India
Ethiopia,N/A - From RDC,Air,29-Jan-09,29-Jan-09,SCMS from RDC,17103,121773.36,7.12,0.12,No,See DN-1061 (ID#:11019),238.68,India
Ethiopia,N/A - From RDC,Air,29-Jan-09,29-Jan-09,SCMS from RDC,11549,122650.38,10.62,0.35,No,See DN-1061 (ID#:11019),240.39,India
Ethiopia,N/A - From RDC,Air,18-Feb-09,18-Feb-09,SCMS from RDC,2855,20327.6,7.12,0.12,No,See DN-1060 (ID#:11618),39.84,India
Nigeria,N/A - From RDC,Air,19-Jan-09,19-Jan-09,SCMS from RDC,1923,79035.3,41.1,0.68,No,See DN-1059 (ID#:11016),154.91,India
Nigeria,N/A - From RDC,Air,19-Jan-09,19-Jan-09,SCMS from RDC,45000,420750.0,9.35,0.16,No,See DN-1058 (ID#:11015),824.67,India
Ethiopia,N/A - From RDC,Air,3-Mar-09,3-Mar-09,SCMS from RDC,11549,122650.38,10.62,0.35,No,See DN-1052 (ID#:10737),240.39,India
Ethiopia,N/A - From RDC,Air,3-Mar-09,3-Mar-09,SCMS from RDC,14814,29628.0,2.0,0.07,No,See DN-1052 (ID#:10737),58.07,India
Côte d'Ivoire,N/A - From RDC,Air,19-Jan-09,19-Jan-09,SCMS from RDC,4100,13120.0,3.2,0.05,No,See DN-1047 (ID#:12215),25.72,India
Zimbabwe,N/A - From RDC,Truck,16-Feb-09,16-Feb-09,SCMS from RDC,8000,16000.0,2.0,0.07,No,See DN-1044 (ID#:10996),31.36,India
Zimbabwe,N/A - From RDC,Truck,16-Feb-09,16-Feb-09,SCMS from RDC,4000,48040.0,12.01,0.4,No,See DN-1044 (ID#:10996),94.16,India
Mozambique,N/A - From RDC,Air,21-Feb-09,21-Feb-09,SCMS from RDC,7306,23379.2,3.2,0.05,No,See DN-1034 (ID#:10732),45.82,India
Mozambique,N/A - From RDC,Air,21-Feb-09,21-Feb-09,SCMS from RDC,24350,267850.0,11.0,0.37,No,See DN-1034 (ID#:10732),524.99,India
Mozambique,N/A - From RDC,Air,21-Feb-09,21-Feb-09,SCMS from RDC,6,19.2,3.2,0.05,No,See DN-1034 (ID#:10732),0.04,India
Mozambique,N/A - From RDC,Air,21-Feb-09,21-Feb-09,SCMS from RDC,252,12600.0,50.0,0.28,No,See DN-1034 (ID#:10732),24.7,Netherlands
Mozambique,N/A - From RDC,Air,2-Sep-09,9-Feb-09,SCMS from RDC,560,8545.6,15.26,0.17,No,See DN-1024 (ID#:10984),16.75,India
Guyana,N/A - From RDC,Air,21-Nov-08,21-Nov-08,SCMS from RDC,420,1218.0,2.9,0.05,No,See DN-1017 (ID#:11564),2.39,India
Zimbabwe,N/A - From RDC,Truck,19-Nov-08,19-Nov-08,SCMS from RDC,76000,562400.0,7.4,0.12,No,See DN-1015 (ID#:11561),1102.3,India
Zimbabwe,N/A - From RDC,Truck,19-Nov-08,19-Nov-08,SCMS from RDC,4000,48040.0,12.01,0.4,No,See DN-1015 (ID#:11561),94.16,India
Nigeria,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,1077,3123.3,2.9,0.05,No,See DN-1008 (ID#:11570),6.12,India
Nigeria,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,6,157.5,26.25,0.88,No,See DN-1008 (ID#:11570),0.31,Saudi Arabia
Nigeria,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,2,76.72,38.36,0.11,No,See DN-1008 (ID#:11570),0.15,France
Pakistan,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,12,1199.88,99.99,1.0,No,See DN-1004 (ID#:11280),2.35,India
Pakistan,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,12,0.12,0.01,0.0,No,See DN-1004 (ID#:11280),0.0,India
South Africa,DDP,Ocean,26-Apr-11,26-Apr-11,Aurobindo Pharma Limited,136403,323275.11,2.37,0.04,No,See ASN-9945 (ID#:28542),696.98,India
Rwanda,EXW,Air,28-Jan-08,28-Jan-08,ASPEN PHARMACARE,84,0.84,0.01,0.0,No,See ASN-990 (ID#:1502),0.0,Saudi Arabia
Ethiopia,EXW,Air,14-Feb-11,14-Feb-11,Aurobindo Pharma Limited,750,15000.0,20.0,0.67,No,See ASN-9567 (ID#:15946),32.34,India
South Africa,DDP,Ocean,3-Apr-11,4-Mar-11,Aurobindo Pharma Limited,6736,13606.72,2.02,0.01,No,See ASN-9486 (ID#:24187),29.34,India
South Africa,DDP,Ocean,2-Jan-11,10-Mar-11,Aurobindo Pharma Limited,19214,191755.72,9.98,0.11,No,See ASN-9477 (ID#:26879),413.43,India
Vietnam,EXW,Air,16-Feb-11,16-Feb-11,HETERO LABS LIMITED,1008,7005.6,6.95,0.12,No,See ASN-9408 (ID#:39263),15.1,India
Vietnam,EXW,Air,16-Feb-11,16-Feb-11,HETERO LABS LIMITED,5200,24960.0,4.8,0.08,No,See ASN-9408 (ID#:39263),53.81,India
Vietnam,EXW,Air,16-Feb-11,16-Feb-11,HETERO LABS LIMITED,35000,292250.0,8.35,0.14,No,See ASN-9408 (ID#:39263),630.09,India
Vietnam,EXW,Air,16-Feb-11,16-Feb-11,HETERO LABS LIMITED,15572,22579.4,1.45,0.02,No,See ASN-9408 (ID#:39263),48.68,India
Vietnam,EXW,Air,2-Sep-11,9-Feb-11,HETERO LABS LIMITED,5977,14524.11,2.43,0.04,No,See ASN-9407 (ID#:17697),31.31,India
Vietnam,EXW,Air,2-Sep-11,9-Feb-11,HETERO LABS LIMITED,504,3502.8,6.95,0.12,No,See ASN-9407 (ID#:17697),7.55,India
Vietnam,EXW,Air,2-Sep-11,9-Feb-11,HETERO LABS LIMITED,14428,20920.6,1.45,0.02,No,See ASN-9407 (ID#:17697),45.1,India
Rwanda,EXW,Ocean,3-Jan-11,1-Mar-11,HETERO LABS LIMITED,172800,1617408.0,9.36,0.31,No,See ASN-9370 (ID#:48500),3487.13,India
